Data,name,mobile,sentiment_score
"To the American Navy Seals 🇺🇸🇮🇱🐖:

__""Welcome to Atlantis 🐳🐳🔱________""__

[Telegraph Page](https://telegra.ph/Resistance-Movement-Part-2-01-17)",-1001666243069,2024-02-01 14:17:54+00:00,0.5208333333333334
😘,-1002144544752,2024-02-01 14:10:09+00:00,0.5
"How do you think this Iranian lady has lived so long, 124 years?
From garlic... 💖
Eat a clove of garlic every day. 😁",889839684,2024-02-01 14:09:43+00:00,0.5
"**فکر میکنی این خانوم** **ایرانی چطوری آنقدر عمر کرده، ۱۲۴ سال؟
از سیر… ** 💖**
هر روز یه کونه سیر بخور.** 😁",169657243,2024-02-01 14:09:43+00:00,0.5
@ExposingZionist @SatanicJew,169657243,2024-02-01 13:55:09+00:00,0.5
,5888626295,2024-02-01 13:50:53+00:00,0.0
"What remains of the Israeli weapons that were left behind after the occupation forces withdrawal from the northeast of Gaza.

Remnants of the occupation after the withdrawal from northwest Gaza",889839684,2024-02-01 13:48:33+00:00,0.5
"What remains of the Israeli weapons that were left behind after the occupation forces withdrawal from the northeast of Gaza.

مخلفات الاحتلال بعد الانسحاب من شمال غرب غزة",5900397882,2024-02-01 13:48:32+00:00,0.5
"Massive destruction in the northwest of Gaza.

Massive destruction in northwest Gaza",889839684,2024-02-01 13:45:56+00:00,0.4230769230769231
"Massive destruction in the northwest of Gaza. 

دمار كبير في شمال غرب غزة",5900397882,2024-02-01 13:45:55+00:00,0.4642857142857143
"**#Breaking**** 🚨

❗️🇳🇴 Norwegian Foreign Affairs Minister Espen Barth Eide recently raised important questions regarding international arms exports to Israel. He urged exporting nations to critically assess whether their actions might contribute to potential acts of genocide.

❗️He said:
****Counties that export weapons to Israel must evaluate whether they are contributing to potential genocide.****

Don't Stop talking about Palestine 🇵🇸 and Yemen 🇾🇪

🔻****@MuslimResistance****
🔻****@MuslimResistanceGC****
🔻****@RedArrowResistance**",5888626295,2024-02-01 13:45:52+00:00,0.49122807017543857
,5900397882,2024-02-01 13:40:36+00:00,0.0
,5900397882,2024-02-01 13:40:27+00:00,0.0
,5900397882,2024-02-01 13:40:19+00:00,0.0
,5900397882,2024-02-01 13:40:04+00:00,0.0
,5900397882,2024-02-01 13:39:51+00:00,0.0
,5900397882,2024-02-01 13:38:58+00:00,0.0
,6384456637,2024-02-01 13:38:02+00:00,0.0
"**#Breaking**** 🚨🇪🇸

❗️Spain's left-wing coalition government said it will make a voluntary contribution to the Prosecutor’s Office of the International Court of Justice (ICJ) to investigate human rights violations in Gaza under Israeli attacks.

❗️At a meeting on Jan. 30, the Council of Ministers decided that Spain will contribute to the ICJ Prosecutor's Office in the investigation of mass human rights violations in Gaza to hold those responsible to account before the court.

❗️Within the scope of this politically significant voluntary contribution by Spain, the ICJ Prosecutor’s Office Trust Fund will receive 500,000 euros ($541,790) in 2024.

Don't Stop talking about Palestine 🇵🇸 and Yemen 🇾🇪

🔻****@MuslimResistance****
🔻****@MuslimResistanceGC****
🔻****@RedArrowResistance**",5888626295,2024-02-01 13:37:18+00:00,0.50625
,5900397882,2024-02-01 13:36:19+00:00,0.0
,6384456637,2024-02-01 13:36:10+00:00,0.0
,5900397882,2024-02-01 13:34:05+00:00,0.0
,5900397882,2024-02-01 13:30:42+00:00,0.0
,5900397882,2024-02-01 13:30:21+00:00,0.0
,5900397882,2024-02-01 13:30:16+00:00,0.0
,5900397882,2024-02-01 13:29:59+00:00,0.0
,6384456637,2024-02-01 13:27:38+00:00,0.0
"**Israeli Soldiers are Screaming & Crying like Little Bitches in Gaza.**🥰**
****@ExposingZionist**** ****@SatanicJew**** **👊",169657243,2024-02-01 13:25:51+00:00,0.5119047619047619
,5900397882,2024-02-01 13:20:33+00:00,0.0
,5888626295,2024-02-01 13:18:37+00:00,0.0
YOOOOOOOOO,5218647078,2024-02-01 13:18:25+00:00,0.5
,5900397882,2024-02-01 13:15:56+00:00,0.0
,5900397882,2024-02-01 13:15:18+00:00,0.0
,5900397882,2024-02-01 13:15:11+00:00,0.0
,5900397882,2024-02-01 13:14:21+00:00,0.0
Hello Fatima Al-Mablaktani,889839684,2024-02-01 13:13:19+00:00,0.5
هلا فاطمه المبلكتنيي,6419423229,2024-02-01 13:13:18+00:00,0.5
,5900397882,2024-02-01 13:13:03+00:00,0.0
,5900397882,2024-02-01 13:12:56+00:00,0.0
,5900397882,2024-02-01 13:12:49+00:00,0.0
,6384456637,2024-02-01 13:11:33+00:00,0.0
,5888626295,2024-02-01 13:11:04+00:00,0.0
What are you talking about bro?,5900397882,2024-02-01 13:08:36+00:00,0.5
,6384456637,2024-02-01 13:03:24+00:00,0.0
,5900397882,2024-02-01 12:48:16+00:00,0.0
Okay.,6047192430,2024-02-01 12:47:41+00:00,0.5
,5900397882,2024-02-01 12:46:45+00:00,0.0
,5900397882,2024-02-01 12:46:40+00:00,0.0
"Det-i-ski, Uzbe-kcha, Amer-ika-cha-cha-cha-cha, Guru-pavoy Se-khylar bi-o-o channel",889839684,2024-02-01 12:46:37+00:00,0.5
"Det-iski, Uzbe-kcha, Amer-ikacha, Kore-scha, Guru-ppavoy Se-xylar bi-odagi ka-nalda",6888085960,2024-02-01 12:46:36+00:00,0.5
,5900397882,2024-02-01 12:46:33+00:00,0.0
"Even if your not Muslim, please be respectful for the Muslims in this group and even non Muslims and especially to Palestine",6047192430,2024-02-01 12:46:11+00:00,0.5217391304347826
,5900397882,2024-02-01 12:45:30+00:00,0.0
,5900397882,2024-02-01 12:45:14+00:00,0.0
"Let's try to keep our topics in Support of Palestine and their cause. 

When I get on here from work I see over 200 posts that have nothing to do with Palestine and have very bad language.",6047192430,2024-02-01 12:45:10+00:00,0.4625
,6979858004,2024-02-01 12:44:46+00:00,0.0
,5900397882,2024-02-01 12:44:39+00:00,0.0
,5900397882,2024-02-01 12:44:26+00:00,0.0
**FROM THE MOUNTAIN TO THE GROUND ZIONISM WILL BE DOWN**,5888626295,2024-02-01 12:44:00+00:00,0.5
,5900397882,2024-02-01 12:43:22+00:00,0.0
**FROM THE RIVER TO THE SEA PALESTINE WILL BE FREE**,5888626295,2024-02-01 12:42:45+00:00,0.5357142857142857
This group is for the Support of the Palestinian people,6047192430,2024-02-01 12:41:48+00:00,0.55
,5900397882,2024-02-01 12:41:25+00:00,0.0
,5900397882,2024-02-01 12:41:14+00:00,0.0
"agreed bro, and they are so called Internet mujahids 🤣",5888626295,2024-02-01 12:41:11+00:00,0.5
,5900397882,2024-02-01 12:40:59+00:00,0.0
"I agree, thank you",6979858004,2024-02-01 12:40:55+00:00,0.6
"Very bad language and inappropriate for this group, it has nothing to do with Palestinian lives matter.",6047192430,2024-02-01 12:40:42+00:00,0.5526315789473685
🤣🤣🤣🤣,6979858004,2024-02-01 12:40:39+00:00,0.5
Internet trolls,6979858004,2024-02-01 12:40:32+00:00,0.5
,5900397882,2024-02-01 12:40:30+00:00,0.0
,5888626295,2024-02-01 12:40:24+00:00,0.0
,5900397882,2024-02-01 12:40:20+00:00,0.0
like coward jews,5888626295,2024-02-01 12:40:12+00:00,0.5
made a run for it,5888626295,2024-02-01 12:40:09+00:00,0.5
,5900397882,2024-02-01 12:39:49+00:00,0.0
Why deleted it? 🥲,6979858004,2024-02-01 12:39:32+00:00,0.5
,5900397882,2024-02-01 12:39:26+00:00,0.0
,5900397882,2024-02-01 12:38:40+00:00,0.0
,5900397882,2024-02-01 12:38:39+00:00,0.0
,5900397882,2024-02-01 12:38:01+00:00,0.0
,5900397882,2024-02-01 12:37:49+00:00,0.0
,5900397882,2024-02-01 12:37:28+00:00,0.0
,6979858004,2024-02-01 12:37:26+00:00,0.0
,6979858004,2024-02-01 12:37:02+00:00,0.0
,5900397882,2024-02-01 12:36:50+00:00,0.0
,5900397882,2024-02-01 12:35:58+00:00,0.0
,5900397882,2024-02-01 12:35:40+00:00,0.0
,5900397882,2024-02-01 12:35:00+00:00,0.0
,5900397882,2024-02-01 12:34:47+00:00,0.0
"Well my eyeliner not that aligned here, can you edit it?",6979858004,2024-02-01 12:32:56+00:00,0.46153846153846156
"☠️ Rep Brian Mast: ""There's more that needs to be destroyed""",2024491846,2024-02-01 12:32:53+00:00,0.5
,5900397882,2024-02-01 12:32:41+00:00,0.0
,5900397882,2024-02-01 12:32:28+00:00,0.0
,6979858004,2024-02-01 12:32:11+00:00,0.0
,5900397882,2024-02-01 12:31:56+00:00,0.0
Bruuhhh my 10 steps skin care is working,6979858004,2024-02-01 12:31:52+00:00,0.5
"Look at my skinnn, sooo smoothhh ngl",6979858004,2024-02-01 12:31:33+00:00,0.5
,6979858004,2024-02-01 12:30:59+00:00,0.0
,5900397882,2024-02-01 12:30:58+00:00,0.0
,5900397882,2024-02-01 12:30:47+00:00,0.0
,5900397882,2024-02-01 12:30:22+00:00,0.0
,5900397882,2024-02-01 12:30:14+00:00,0.0
,5900397882,2024-02-01 12:29:56+00:00,0.0
,5900397882,2024-02-01 12:29:52+00:00,0.0
HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA,889839684,2024-02-01 12:29:45+00:00,0.5
HAHAHHAHAHAHAHHAHAHHAHAHAHAHAAA,6979858004,2024-02-01 12:29:44+00:00,0.5
,5900397882,2024-02-01 12:29:38+00:00,0.0
,6979858004,2024-02-01 12:29:36+00:00,0.0
,6979858004,2024-02-01 12:29:27+00:00,0.0
,5900397882,2024-02-01 12:29:18+00:00,0.0
,6979858004,2024-02-01 12:28:02+00:00,0.0
HAHAHAHAHAHAHAHAHAHAHAHAHAHA,889839684,2024-02-01 12:27:44+00:00,0.5
HAHAHHAHAHAHAHAHHAAHHAAHAHA,6979858004,2024-02-01 12:27:43+00:00,0.5
,5900397882,2024-02-01 12:27:42+00:00,0.0
,5900397882,2024-02-01 12:27:36+00:00,0.0
,6979858004,2024-02-01 12:27:20+00:00,0.0
,5900397882,2024-02-01 12:27:08+00:00,0.0
,6979858004,2024-02-01 12:26:50+00:00,0.0
,5900397882,2024-02-01 12:26:33+00:00,0.0
Do you really think i care?🤣🤣🤣🤣🤣,6979858004,2024-02-01 12:26:26+00:00,0.5
The world did not love us mother..🌎🧕,889839684,2024-02-01 12:25:49+00:00,0.5555555555555556
Дунйо бизни севмади она..🌎🧕,1261815171,2024-02-01 12:25:48+00:00,0.5
,6979858004,2024-02-01 12:25:47+00:00,0.0
,5900397882,2024-02-01 12:25:45+00:00,0.0
HAHAHAHAH,889839684,2024-02-01 12:25:34+00:00,0.5
"2 times bro, u got this wrong, edit it again please",6979858004,2024-02-01 12:25:20+00:00,0.46153846153846156
,5900397882,2024-02-01 12:24:57+00:00,0.0
,6979858004,2024-02-01 12:24:17+00:00,0.0
,5900397882,2024-02-01 12:24:07+00:00,0.0
"Gosh im really beautiful, thank to Allah",6979858004,2024-02-01 12:23:56+00:00,0.625
,5900397882,2024-02-01 12:23:51+00:00,0.0
,6979858004,2024-02-01 12:23:34+00:00,0.0
Please make me famous🤣🤣🤣,6979858004,2024-02-01 12:23:30+00:00,0.5
"💝join us for more Islamic contents✨
🔗 [Telegram](http://t.me/Hedayat1444) 
🔗 [WhatsApp](https://chat.whatsapp.com/IGKscpb86EfAbLdUktfIwX)",6639058272,2024-02-01 12:22:38+00:00,0.5
,6979858004,2024-02-01 12:22:33+00:00,0.0
,5900397882,2024-02-01 12:22:16+00:00,0.0
,5900397882,2024-02-01 12:21:43+00:00,0.0
,5900397882,2024-02-01 12:21:40+00:00,0.0
"Im still very pretty, MashaAllah",6979858004,2024-02-01 12:21:26+00:00,0.5833333333333334
Ahah exactly otherwise man wouldn't be trying to get it online with milfs,6126850845,2024-02-01 12:20:47+00:00,0.5
,6979858004,2024-02-01 12:19:49+00:00,0.0
,5900397882,2024-02-01 12:19:11+00:00,0.0
Mashallah im soo pretty,889839684,2024-02-01 12:18:57+00:00,0.625
MashaAllah im soo pretty,6979858004,2024-02-01 12:18:56+00:00,0.625
,5900397882,2024-02-01 12:18:36+00:00,0.0
,5900397882,2024-02-01 12:17:08+00:00,0.0
I put it in my story please check 🤣🤣🤣🤣😭😭😭😭,6979858004,2024-02-01 12:16:54+00:00,0.5
,6979858004,2024-02-01 12:08:15+00:00,0.0
,6979858004,2024-02-01 12:08:11+00:00,0.0
,6979858004,2024-02-01 12:07:37+00:00,0.0
Try harder 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,6979858004,2024-02-01 12:07:33+00:00,0.5
So you think you can hurt me with all of this? 🍿🍿🍿,6979858004,2024-02-01 12:07:21+00:00,0.46153846153846156
Bros really took his time for editing 🤣🤣🤣🤣☄️☄️☄️,6979858004,2024-02-01 12:05:41+00:00,0.5
,6979858004,2024-02-01 12:05:05+00:00,0.0
Modi supporter,6126850845,2024-02-01 12:03:41+00:00,0.75
,6979858004,2024-02-01 12:03:23+00:00,0.0
If you know anyone in India we need to put a knife in this Hindus throat,6126850845,2024-02-01 12:03:12+00:00,0.46875
,6979858004,2024-02-01 12:01:51+00:00,0.0
,6126850845,2024-02-01 12:01:49+00:00,0.0
,6979858004,2024-02-01 12:01:34+00:00,0.0
,6979858004,2024-02-01 12:00:53+00:00,0.0
Hahahahahahahaha,889839684,2024-02-01 12:00:51+00:00,0.5
She was drunk that's why ahah,6126850845,2024-02-01 12:00:40+00:00,0.42857142857142855
37 damn that's tough smash tho still,6360321460,2024-02-01 11:59:21+00:00,0.4375
LMFAO 🤣🤣🤣🤣🤣🤣🤣,6360321460,2024-02-01 11:59:05+00:00,0.5
Black.,6360321460,2024-02-01 11:58:53+00:00,0.5
🤣🤣🤣🤣,6126850845,2024-02-01 11:58:20+00:00,0.5
"☠️⚡️“Israel's“ Channel 13 reports on the trucks entering Israel from the UAE, Saudi Arabia and Jordan. This transportation route has been established since Houthis in Yemen targeted Western ships.",2024491846,2024-02-01 11:58:06+00:00,0.5
19 years old ahahaha,889839684,2024-02-01 11:57:50+00:00,0.5
What's my age exactly?,6360321460,2024-02-01 11:57:36+00:00,0.5
Black? Nigga please,6360321460,2024-02-01 11:56:38+00:00,0.5
I'm not claiming to be something else ahah he is a black man claiming to be chechen pahahahahaha,6126850845,2024-02-01 11:56:22+00:00,0.5
Damn you want her?,6360321460,2024-02-01 11:55:56+00:00,0.4
Aren't you a pak living in England?,6360321460,2024-02-01 11:55:40+00:00,0.5
Shutup lil south African thinking his Chechen,6126850845,2024-02-01 11:53:25+00:00,0.5
"[@Edjhig](tg://user?id=6681648111) [`6681648111`] used a banned word. 
**Action:** Muted 🔇",1331291118,2024-02-01 11:47:52+00:00,0.5
"⚡Deputy Prime Minister of Belgium, Petra De Sutter, doubled down on her country's position on Israel's allegations against UNRWA, stressing that Belgium will continue to fund UNRWA.   

""The agency is irreplaceable in providing urgent and crucial humanitarian relief within Gaza"", she added.

@AIQUDSNOW
@BUBAIDATALKS",-1002129709757,2024-02-01 11:40:09+00:00,0.5
"**❗️A recent survey conducted by Channel 12 in Israel has unveiled a divide in public opinion regarding a potential prisoner exchange deal with Palestinian resistance factions. The deal, which would involve the release of Israeli prisoners of war from Gaza in exchange for thousands of Palestinians detained in Israeli prisons, is opposed by half of the Israeli population.

❗️The survey, which involved 503 respondents, indicates only 35% support for the deal, which also proposes a 45-day ceasefire. A notable aspect of the findings is the distinct difference in opinion between Prime Minister Benjamin Netanyahu’s coalition supporters and the opposition, with 75% of the former opposing the deal.

❗️Additionally, a significant majority, 72%, believe that humanitarian aid to the Gaza Strip should be halted until the Israeli prisoners are released, while a mere 21 percent were in favor of continuing the aid deliveries to Gaza.


Don't Stop talking about Palestine 🇵🇸 and Yemen 🇾🇪

🔻****@MuslimResistance****
🔻****@MuslimResistanceGC****
🔻****@RedArrowResistance**",5888626295,2024-02-01 11:29:19+00:00,0.5
"Al-Quds Brigades: We targeted with a TPG shell a group of enemy soldiers stationed inside an apartment in the Industrial Square, west of Gaza City.

Join With Us:
@hamasvsisraell
@hamas_israel_war_update",6240799650,2024-02-01 11:25:15+00:00,0.4861111111111111
"**❗️Israeli Prime Minister Benjamin Netanyahu (🤡) has called for the end of UNRWA's operations. During discussions with UN representatives, he highlighted the need to discontinue the agency, especially after allegations of its staff's involvement in an October 7 incident.

❗️Contrary to the U.S.'s viewpoint, which supports UNRWA's critical role in assisting Palestinian refugees, Netanyahu proposes that UNRWA's responsibilities be transferred to alternative UN and aid agencies.

❗️He said:

****It's time for the international community and the UN itself to understand that UNRWA'S mission must be terminated.****


Don't Stop talking about Palestine 🇵🇸 and Yemen 🇾🇪

🔻****@MuslimResistance****
🔻****@MuslimResistanceGC****
🔻****@RedArrowResistance**",5888626295,2024-02-01 11:22:07+00:00,0.4967741935483871
"Beit Hanoun Hospital in northern Gaza, which was destroyed by the occupation army.

Join With Us:
@hamasvsisraell
@hamas_israel_war_update",6240799650,2024-02-01 11:20:00+00:00,0.5
https://t.me/Zulmat_ostonasi_8,6360343943,2024-02-01 11:17:49+00:00,0.5
🇩🇪 German Chancellor Olaf Scholz calls on EU countries to increase arms deliveries to Ukraine.,2024491846,2024-02-01 11:17:19+00:00,0.5
"**#Pakistan**** 🇵🇰

❗️Pakistan Army on Wednesday reiterated ""unequivocal"" support for the people of Gaza, where Israel has killed nearly 27,000 people, noting the ""extremely negative fallout of the conflict and the potential to spill over in the wider region.""

❗️The support was extended during a corps commander meeting at the army's headquarters in the northeastern garrison city of Rawalpindi with army chief Gen. Asim Munir in the chair, said a military statement.

❗️""The immediate need for a permanent ceasefire and enduring solution to the Palestinian question was unanimously recognized,"" the press release added.

Don't Stop talking about Palestine 🇵🇸 and Yemen 🇾🇪

🔻****@MuslimResistance****
🔻****@MuslimResistanceGC****
🔻****@RedArrowResistance**",5888626295,2024-02-01 11:09:18+00:00,0.4967948717948718
"✅ Ireland’s representative in the European Parliament:

📍We supported the UAE and Saudi Arabia’s war on Yemen, but no one in the media said anything about what happened to the Yemenis! After the Yemenis caused a disturbance in the shipping process in the Red Sea, we began military buildup, and this is a terrible thing and it revealed the face of the European Union!

🆔 @Baridmedia",889839684,2024-02-01 10:49:01+00:00,0.4935064935064935
"✅ مندوب أيرلندا في البرلمان الأوروبي:

📍لقد دعمنا حرب الإمارات والسعودية على اليمن، لكن لم يقل أحد في وسائل الإعلام شيئاً عما حدث لليمنيين!/بعد أن أحدث اليمنيون اضطراباً في عملية الشحن في البحر الأحمر فبدأنا بالتحشيد العسكري وهذا أمر فظيع وقد كشف عن وجه الاتحاد الأوروبي! 

🆔 @Baridmedia",374943925,2024-02-01 10:49:00+00:00,0.5
"✅ Israeli politics:

📍We will displace the Arabs from Gaza and they must leave!

🆔 @Baridmedia",889839684,2024-02-01 10:47:22+00:00,0.47368421052631576
"✅ سیاسیة اسرائیلیة:

📍سنقوم بتهجير العرب من غزة وعليهم مغادرتها!

🆔 @Baridmedia",374943925,2024-02-01 10:47:21+00:00,0.5
"**#Visuals**** 🖼

❗️A recent post by Israeli media has caused a stir due to its contentious nature.

❗️The post includes a photo showing Palestinian detainees in Khan Yunis, Gaza Strip, blindfolded and forced to kneel before a Quranic verse.

❗️The Jerusalem Post's coverage of this event further fueled the controversy by describing the Palestinians as ""sinners"" facing punishment.

Don't Stop talking about Palestine 🇵🇸 and Yemen 🇾🇪

🔻****@MuslimResistance****
🔻****@MuslimResistanceGC****
🔻****@RedArrowResistance**",5888626295,2024-02-01 10:47:12+00:00,0.49122807017543857
"🔥Haaretz: Israeli soldiers set fire to homes in Gaza, following direct orders from their commanders. 

The practice is believed to be a method to prevent Palestinians from going back to their houses and empty the area of its indigenous population.",2024491846,2024-02-01 10:38:20+00:00,0.5
"☠️ Al-Mayadeen and Anadolu Agency correspondents: 

IOF withdraws its troops from northern and northwestern Gaza City",2024491846,2024-02-01 10:22:54+00:00,0.5
"The Prisoners' and Ex-Prisoners' Affairs Authority and the Prisoners' Club: From yesterday evening until Thursday morning, the Israeli occupation forces arrested at least (44) Palestinians from the West Bank, including children and former prisoners.

The arrest operations were concentrated in the town of Husan/Bethlehem, affecting at least 30 Palestinians, including about 18 children, most of whom were arrested by the occupation as hostages, while the rest of the arrests were distributed among the governorates of Jericho, Jenin, Nablus, Tubas, and Hebron.

@MuslimResistance
@MuslimResistanceGC",5888626295,2024-02-01 10:19:48+00:00,0.5
"☠️ Israeli media reports Mossad's proposal for a Gaza deal, presenting a 35-day ceasefire in exchange for releasing 35 hostages.",2024491846,2024-02-01 10:19:02+00:00,0.5
"🔶Our bother Reverts to Islam.


**Islam is the only way of life**♥️

💝**join me**☺️
👉 [Islam path of life](https://t.me/Islam_path_of_life)",6639058272,2024-02-01 09:53:33+00:00,0.4868421052631579
"🗣 Israel Army Radio:

""A non-commissioned officer was arrested on suspicion of sexually assaulting a reserve officer in his unit.""

@ResistanceToast
@Al_Qassam_Toast",2024491846,2024-02-01 09:51:00+00:00,0.48214285714285715
May the name of war be erased. May Allah protect you all,889839684,2024-02-01 09:45:31+00:00,0.5384615384615384
Urushni nomi oʻchsin.allox barchangizni oʻz panoxida asrasin,6684591832,2024-02-01 09:45:30+00:00,0.5
What,889839684,2024-02-01 09:44:40+00:00,0.5
Nima,6684591832,2024-02-01 09:44:39+00:00,0.5
"Meanwhile, in Brussels",6594475443,2024-02-01 09:36:00+00:00,0.5
